,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2,5,90,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,11,6,88,6,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,21,9,85,6,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,31,10,82,8,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,41,11,78,11,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,51,11,76,13,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,61,11,73,16,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,71,13,68,19,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,81,15,63,22,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,91,16,60,24,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,101,16,58,26,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,111,18,53,29,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,121,19,52,29,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,131,20,51,29,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,141,20,48,32,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,151,24,44,32,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,161,26,42,32,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,171,26,41,33,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,181,28,36,36,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,191,29,33,38,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,201,31,29,40,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,211,33,26,41,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,221,35,24,41,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,231,36,22,42,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,241,38,19,43,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,251,39,16,45,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,261,39,12,49,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,271,41,10,49,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,281,43,8,49,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,291,44,7,49,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,301,44,6,50,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,311,44,5,51,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,321,45,5,50,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,331,45,3,52,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,341,44,3,53,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,351,44,1,55,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,361,44,1,55,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,371,46,0,54,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,381,47,0,53,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,391,48,0,52,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,401,47,0,53,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,411,47,0,53,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,421,46,0,54,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,431,47,0,53,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,441,48,0,52,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,451,49,0,51,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,461,46,0,54,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,471,46,0,54,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,481,46,0,54,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,491,46,0,54,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,501,47,0,53,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,511,48,0,52,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,521,50,0,50,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,531,51,0,49,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,541,52,0,48,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,551,52,0,48,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,561,52,0,48,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,571,51,0,49,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,581,53,0,47,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,591,54,0,46,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,601,56,0,44,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,611,55,0,45,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,621,55,0,45,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,631,55,0,45,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,641,56,0,44,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,651,57,0,43,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,661,58,0,42,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,671,58,0,42,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,681,59,0,41,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,691,59,0,41,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,701,59,0,41,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,711,59,0,41,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,721,59,0,41,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,731,61,0,39,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,741,60,0,40,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,751,60,0,40,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,761,59,0,41,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,771,61,0,39,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,781,61,0,39,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,791,63,0,37,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,801,64,0,36,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,811,66,0,34,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,821,66,0,34,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,831,67,0,33,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,841,68,0,32,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,851,69,0,31,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,861,69,0,31,0,5,5,2970,1,0,CO,majority_opinion,10000
