,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2,5,90,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,11,5,89,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,21,5,89,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,31,6,87,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,41,6,86,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,51,6,86,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,61,7,86,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,71,8,85,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,81,10,85,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,91,11,83,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,101,12,81,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,111,14,79,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,121,14,79,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,131,14,79,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,141,14,79,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,151,15,77,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,161,18,74,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,171,22,70,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,181,23,67,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,191,26,63,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,201,28,60,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,211,32,56,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,221,35,53,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,231,37,51,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,241,38,48,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,251,40,46,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,261,42,43,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,271,44,41,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,281,46,39,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,291,46,39,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,301,47,37,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,311,47,35,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,321,49,32,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,331,49,29,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,341,52,26,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,351,51,26,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,361,53,23,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,371,54,21,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,381,57,17,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,391,60,12,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,401,60,11,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,411,61,10,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,421,63,9,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,431,63,8,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,441,62,8,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,451,62,8,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,461,63,7,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,471,64,7,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,481,65,6,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,491,65,6,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,501,66,5,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,511,66,4,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,521,66,3,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,531,67,3,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,541,69,3,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,551,69,3,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,561,69,3,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,571,71,3,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,581,70,3,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,591,70,3,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,601,73,2,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,611,72,2,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,621,72,2,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,631,71,2,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,641,70,2,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,651,71,2,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,661,72,2,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,671,71,2,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,681,70,2,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,691,72,1,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,701,72,1,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,711,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,721,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,731,72,0,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,741,71,0,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,751,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,761,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,771,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,781,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,791,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,801,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,811,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,821,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,831,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,841,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,851,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,861,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,871,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,881,72,0,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,891,70,0,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,901,72,0,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,911,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,921,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,931,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,941,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,951,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,961,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,971,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,981,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,991,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,1001,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
