,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2,5,90,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,11,5,90,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,21,5,89,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,31,7,87,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,41,7,87,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,51,8,85,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,61,8,83,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,71,8,83,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,81,8,82,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,91,8,81,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,101,9,80,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,111,9,77,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,121,9,76,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,131,9,76,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,141,9,74,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,151,11,71,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,161,12,70,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,171,12,68,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,181,13,68,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,191,14,66,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,201,16,64,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,211,16,64,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,221,17,62,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,231,18,60,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,241,20,59,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,251,23,56,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,261,24,54,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,271,26,49,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,281,27,47,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,291,27,44,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,301,26,44,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,311,26,44,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,321,26,44,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,331,27,44,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,341,29,44,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,351,28,43,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,361,29,42,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,371,34,39,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,381,35,37,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,391,35,35,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,401,37,31,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,411,39,30,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,421,42,28,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,431,42,27,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,441,44,24,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,451,45,23,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,461,48,20,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,471,50,19,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,481,50,17,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,491,51,14,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,501,51,12,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,511,53,11,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,521,54,10,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,531,54,9,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,541,54,8,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,551,53,8,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,561,54,8,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,571,55,8,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,581,56,7,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,591,56,7,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,601,57,7,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,611,57,6,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,621,57,6,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,631,58,6,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,641,59,5,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,651,60,5,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,661,61,5,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,671,61,5,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,681,61,5,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,691,61,5,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,701,61,5,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,711,62,4,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,721,63,4,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,731,65,3,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,741,66,2,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,751,66,1,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,761,66,1,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,771,67,1,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,781,68,1,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,791,67,1,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,801,68,1,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,811,67,1,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,821,68,1,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,831,68,1,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,841,66,1,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,851,68,1,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,861,69,1,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,871,68,1,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,881,68,1,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,891,67,1,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,901,70,1,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,911,69,1,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,921,70,1,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,931,71,1,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,941,71,1,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,951,71,1,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,961,70,1,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,971,71,1,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,981,72,1,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,991,73,1,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,1001,71,1,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,1011,73,1,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,1021,74,1,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,1031,76,1,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,1041,77,1,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1051,77,1,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1061,77,1,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1071,76,1,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,1081,77,1,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1091,77,1,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1101,78,1,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,1111,78,1,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,1121,79,1,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1131,78,1,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,1141,80,1,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1151,79,1,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1161,79,1,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1171,80,1,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1181,80,1,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1191,81,1,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1201,82,1,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1211,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1221,84,0,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,1231,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1241,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1251,84,0,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,1261,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1271,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1281,84,0,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,1291,84,0,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,1301,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1311,84,0,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,1321,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1331,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1341,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1351,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1361,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1371,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1381,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1391,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1401,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1411,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1421,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1431,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1441,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1451,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1461,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1471,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1481,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1491,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1501,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1511,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1521,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1531,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1541,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1551,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1561,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1571,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1581,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1591,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1601,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1611,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1621,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1631,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1641,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1651,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1661,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1671,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1681,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1691,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1701,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1711,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1721,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1731,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1741,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1751,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1761,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1771,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1781,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1791,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1801,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1811,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1821,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1831,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1841,91,0,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,1851,91,0,9,0,5,5,2970,1,0,CO,discussion,10000
