,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2,5,90,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,11,5,89,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,21,7,87,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,31,7,87,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,41,8,86,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,51,9,85,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,61,9,84,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,71,9,83,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,81,10,82,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,91,11,80,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,101,12,79,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,111,12,79,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,121,14,78,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,131,14,78,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,141,19,73,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,151,19,72,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,161,19,70,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,171,18,70,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,181,18,70,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,191,19,70,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,201,18,70,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,211,19,66,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,221,19,65,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,231,19,65,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,241,19,64,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,251,21,62,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,261,22,61,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,271,24,59,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,281,25,58,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,291,27,55,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,301,30,52,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,311,30,52,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,321,32,50,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,331,34,48,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,341,34,47,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,351,35,46,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,361,37,43,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,371,40,40,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,381,41,38,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,391,44,34,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,401,45,32,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,411,47,31,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,421,47,31,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,431,49,29,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,441,50,27,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,451,53,24,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,461,55,21,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,471,55,21,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,481,58,19,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,491,61,17,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,501,64,16,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,511,65,15,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,521,67,13,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,531,67,13,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,541,69,12,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,551,70,12,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,561,72,10,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,571,74,9,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,581,75,8,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,591,74,8,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,601,74,8,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,611,72,7,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,621,71,7,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,631,70,7,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,641,72,7,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,651,72,7,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,661,73,6,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,671,74,6,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,681,73,6,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,691,72,6,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,701,72,6,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,711,72,6,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,721,73,6,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,731,74,6,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,741,73,6,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,751,72,6,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,761,74,5,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,771,75,5,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,781,75,5,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,791,74,5,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,801,75,5,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,811,76,4,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,821,79,4,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,831,81,4,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,841,81,3,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,851,82,2,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,861,83,1,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,871,84,1,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,881,85,0,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,891,85,0,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,901,85,0,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,911,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,921,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,931,84,0,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,941,85,0,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,951,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,961,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,971,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,981,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,991,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1001,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
