,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2,5,90,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,11,5,90,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,21,5,90,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,31,6,88,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,41,6,88,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,51,6,88,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,61,6,88,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,71,7,87,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,81,8,86,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,91,8,86,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,101,9,83,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,111,10,82,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,121,10,81,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,131,11,80,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,141,12,77,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,151,14,74,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,161,14,74,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,171,16,69,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,181,16,69,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,191,17,67,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,201,20,63,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,211,21,61,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,221,26,55,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,231,26,53,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,241,26,53,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,251,26,51,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,261,27,50,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,271,29,46,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,281,30,42,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,291,31,40,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,301,32,39,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,311,33,36,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,321,36,35,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,331,38,33,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,341,39,31,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,351,38,30,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,361,38,29,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,371,40,25,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,381,41,23,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,391,44,21,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,401,43,20,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,411,45,18,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,421,48,16,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,431,48,13,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,441,49,12,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,451,48,12,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,461,51,9,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,471,51,8,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,481,50,7,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,491,52,6,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,501,54,4,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,511,54,4,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,521,54,4,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,531,57,3,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,541,58,3,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,551,60,1,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,561,62,1,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,571,62,1,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,581,60,1,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,591,60,1,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,601,61,1,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,611,62,1,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,621,61,1,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,631,64,1,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,641,66,1,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,651,66,1,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,661,65,1,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,671,65,1,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,681,65,1,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,691,68,1,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,701,70,1,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,711,71,1,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,721,72,1,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,731,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,741,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,751,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,761,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,771,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,781,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,791,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,801,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,811,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,821,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,831,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,841,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,851,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,861,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,871,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,881,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,891,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,901,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,911,72,0,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,921,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,931,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,941,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,951,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,961,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,971,72,0,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,981,72,0,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,991,72,0,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,1001,71,0,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,1011,70,0,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,1021,72,0,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,1031,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,1041,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,1051,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,1061,78,0,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1071,78,0,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1081,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,1091,78,0,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1101,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,1111,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,1121,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,1131,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,1141,78,0,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1151,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1161,79,0,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,1171,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1181,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1191,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1201,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1211,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1221,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1231,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1241,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1251,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1261,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1271,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1281,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1291,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1301,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1311,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1321,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1331,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1341,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1351,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1361,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1371,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1381,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1391,78,0,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1401,79,0,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,1411,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1421,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1431,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1441,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1451,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1461,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1471,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1481,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1491,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1501,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1511,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1521,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1531,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1541,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1551,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1561,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1571,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1581,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1591,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1601,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1611,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1621,84,0,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,1631,84,0,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,1641,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1651,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1661,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1671,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1681,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1691,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1701,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1711,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1721,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1731,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1741,87,0,13,0,5,5,2970,1,0,CO,discussion,10000
0,100,1751,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1761,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1771,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1781,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1791,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1801,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1811,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1821,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1831,91,0,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,1841,91,0,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,1851,92,0,8,0,5,5,2970,1,0,CO,discussion,10000
