,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2,5,90,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,11,5,89,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,21,5,89,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,31,6,88,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,41,6,88,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,51,7,86,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,61,7,85,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,71,7,85,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,81,7,84,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,91,7,84,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,101,7,84,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,111,7,84,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,121,7,81,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,131,7,81,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,141,8,80,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,151,8,78,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,161,9,76,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,171,9,74,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,181,9,71,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,191,10,70,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,201,12,67,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,211,12,62,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,221,12,60,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,231,13,57,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,241,14,55,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,251,15,54,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,261,18,50,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,271,18,46,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,281,20,45,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,291,22,44,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,301,24,41,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,311,27,39,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,321,27,39,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,331,27,34,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,341,29,34,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,351,29,32,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,361,30,30,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,371,31,28,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,381,31,26,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,391,33,24,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,401,34,22,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,411,34,22,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,421,34,21,45,0,5,5,2970,1,0,CO,discussion,10000
0,100,431,35,19,46,0,5,5,2970,1,0,CO,discussion,10000
0,100,441,34,19,47,0,5,5,2970,1,0,CO,discussion,10000
0,100,451,34,19,47,0,5,5,2970,1,0,CO,discussion,10000
0,100,461,35,19,46,0,5,5,2970,1,0,CO,discussion,10000
0,100,471,35,18,47,0,5,5,2970,1,0,CO,discussion,10000
0,100,481,37,18,45,0,5,5,2970,1,0,CO,discussion,10000
0,100,491,36,17,47,0,5,5,2970,1,0,CO,discussion,10000
0,100,501,38,14,48,0,5,5,2970,1,0,CO,discussion,10000
0,100,511,40,14,46,0,5,5,2970,1,0,CO,discussion,10000
0,100,521,42,14,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,531,44,14,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,541,44,13,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,551,44,13,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,561,44,13,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,571,44,13,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,581,45,11,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,591,45,10,45,0,5,5,2970,1,0,CO,discussion,10000
0,100,601,45,10,45,0,5,5,2970,1,0,CO,discussion,10000
0,100,611,47,9,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,621,47,9,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,631,51,6,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,641,51,5,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,651,52,4,44,0,5,5,2970,1,0,CO,discussion,10000
0,100,661,55,2,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,671,54,1,45,0,5,5,2970,1,0,CO,discussion,10000
0,100,681,53,1,46,0,5,5,2970,1,0,CO,discussion,10000
0,100,691,56,1,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,701,57,1,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,711,56,1,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,721,58,1,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,731,58,1,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,741,58,1,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,751,58,1,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,761,58,1,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,771,57,1,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,781,57,1,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,791,57,1,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,801,56,1,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,811,57,1,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,821,58,1,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,831,60,1,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,841,60,1,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,851,61,1,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,861,61,1,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,871,63,1,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,881,63,1,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,891,64,1,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,901,66,0,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,911,66,0,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,921,67,0,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,931,69,0,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,941,71,0,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,951,70,0,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,961,69,0,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,971,68,0,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,981,67,0,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,991,64,0,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,1001,65,0,35,0,5,5,2970,1,0,CO,discussion,10000
