,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2,6,89,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,11,6,89,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,21,8,87,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,31,10,85,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,41,10,85,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,51,10,83,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,61,12,81,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,71,12,81,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,81,13,80,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,91,13,79,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,101,15,74,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,111,16,72,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,121,16,70,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,131,16,70,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,141,18,66,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,151,18,64,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,161,18,64,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,171,19,63,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,181,20,61,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,191,20,61,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,201,21,59,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,211,22,58,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,221,24,55,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,231,24,54,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,241,26,52,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,251,27,49,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,261,28,47,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,271,29,45,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,281,27,45,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,291,30,43,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,301,33,40,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,311,35,38,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,321,36,36,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,331,35,36,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,341,35,36,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,351,36,33,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,361,37,29,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,371,38,28,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,381,39,26,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,391,41,22,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,401,42,21,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,411,43,18,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,421,42,18,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,431,41,18,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,441,41,17,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,451,44,15,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,461,43,14,43,0,5,5,2970,1,0,CO,discussion,10000
0,100,471,45,13,42,0,5,5,2970,1,0,CO,discussion,10000
0,100,481,47,12,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,491,48,11,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,501,50,10,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,511,53,7,40,0,5,5,2970,1,0,CO,discussion,10000
0,100,521,53,6,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,531,54,5,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,541,54,5,41,0,5,5,2970,1,0,CO,discussion,10000
0,100,551,56,5,39,0,5,5,2970,1,0,CO,discussion,10000
0,100,561,57,5,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,571,58,5,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,581,59,5,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,591,58,5,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,601,59,5,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,611,58,5,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,621,58,5,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,631,57,5,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,641,57,5,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,651,57,5,38,0,5,5,2970,1,0,CO,discussion,10000
0,100,661,58,5,37,0,5,5,2970,1,0,CO,discussion,10000
0,100,671,59,5,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,681,59,5,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,691,59,5,36,0,5,5,2970,1,0,CO,discussion,10000
0,100,701,61,5,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,711,62,5,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,721,64,4,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,731,65,4,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,741,65,4,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,751,66,4,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,761,66,4,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,771,66,4,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,781,67,4,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,791,66,4,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,801,67,4,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,811,68,4,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,821,67,4,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,831,68,3,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,841,67,3,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,851,68,2,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,861,69,2,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,871,69,2,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,881,69,2,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,891,68,1,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,901,69,1,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,911,72,1,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,921,72,1,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,931,72,1,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,941,73,1,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,951,73,1,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,961,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,971,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,981,73,0,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,991,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,1001,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,1011,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,1021,76,0,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,1031,78,0,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1041,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,1051,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,1061,74,0,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,1071,75,0,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,1081,78,0,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1091,78,0,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1101,78,0,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1111,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1121,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1131,77,0,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,1141,79,0,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,1151,79,0,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,1161,78,0,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,1171,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,1181,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,1191,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1201,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,1211,84,0,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,1221,85,0,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,1231,86,0,14,0,5,5,2970,1,0,CO,discussion,10000
0,100,1241,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1251,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1261,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1271,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1281,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1291,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1301,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1311,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1321,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1331,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1341,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1351,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1361,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1371,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1381,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1391,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1401,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1411,88,0,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,1421,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1431,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1441,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1451,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1461,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1471,89,0,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,1481,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1491,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1501,90,0,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,1511,91,0,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,1521,91,0,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,1531,92,0,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,1541,92,0,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,1551,92,0,8,0,5,5,2970,1,0,CO,discussion,10000
0,100,1561,91,0,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,1571,91,0,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,1581,91,0,9,0,5,5,2970,1,0,CO,discussion,10000
