,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2,5,90,5,0,5,5,2970,1,0,CO,discussion,10000
0,100,11,5,89,6,0,5,5,2970,1,0,CO,discussion,10000
0,100,21,6,87,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,31,8,85,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,41,9,84,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,51,11,82,7,0,5,5,2970,1,0,CO,discussion,10000
0,100,61,11,80,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,71,13,78,9,0,5,5,2970,1,0,CO,discussion,10000
0,100,81,14,76,10,0,5,5,2970,1,0,CO,discussion,10000
0,100,91,15,74,11,0,5,5,2970,1,0,CO,discussion,10000
0,100,101,16,72,12,0,5,5,2970,1,0,CO,discussion,10000
0,100,111,16,69,15,0,5,5,2970,1,0,CO,discussion,10000
0,100,121,19,65,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,131,20,64,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,141,21,63,16,0,5,5,2970,1,0,CO,discussion,10000
0,100,151,22,59,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,161,22,58,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,171,22,58,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,181,25,55,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,191,27,52,21,0,5,5,2970,1,0,CO,discussion,10000
0,100,201,30,50,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,211,31,49,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,221,31,45,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,231,34,43,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,241,35,40,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,251,38,37,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,261,42,34,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,271,42,34,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,281,44,31,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,291,44,30,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,301,45,30,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,311,45,28,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,321,46,27,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,331,48,24,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,341,52,21,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,351,51,21,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,361,53,18,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,371,53,16,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,381,52,13,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,391,53,12,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,401,54,11,35,0,5,5,2970,1,0,CO,discussion,10000
0,100,411,55,11,34,0,5,5,2970,1,0,CO,discussion,10000
0,100,421,56,11,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,431,58,10,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,441,59,10,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,451,58,10,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,461,59,10,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,471,60,10,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,481,60,10,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,491,60,10,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,501,60,8,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,511,61,8,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,521,61,7,32,0,5,5,2970,1,0,CO,discussion,10000
0,100,531,61,6,33,0,5,5,2970,1,0,CO,discussion,10000
0,100,541,63,6,31,0,5,5,2970,1,0,CO,discussion,10000
0,100,551,64,6,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,561,64,6,30,0,5,5,2970,1,0,CO,discussion,10000
0,100,571,66,6,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,581,68,5,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,591,68,5,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,601,69,5,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,611,69,5,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,621,70,5,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,631,69,5,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,641,68,5,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,651,69,5,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,661,68,5,27,0,5,5,2970,1,0,CO,discussion,10000
0,100,671,66,5,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,681,68,3,29,0,5,5,2970,1,0,CO,discussion,10000
0,100,691,69,3,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,701,69,3,28,0,5,5,2970,1,0,CO,discussion,10000
0,100,711,71,3,26,0,5,5,2970,1,0,CO,discussion,10000
0,100,721,72,3,25,0,5,5,2970,1,0,CO,discussion,10000
0,100,731,73,3,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,741,75,1,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,751,75,1,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,761,75,1,24,0,5,5,2970,1,0,CO,discussion,10000
0,100,771,77,1,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,781,76,1,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,791,76,1,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,801,76,1,23,0,5,5,2970,1,0,CO,discussion,10000
0,100,811,77,1,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,821,77,1,22,0,5,5,2970,1,0,CO,discussion,10000
0,100,831,79,1,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,841,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,851,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,861,83,0,17,0,5,5,2970,1,0,CO,discussion,10000
0,100,871,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,881,80,0,20,0,5,5,2970,1,0,CO,discussion,10000
0,100,891,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,901,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,911,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,921,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,931,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,941,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,951,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,961,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,971,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,981,81,0,19,0,5,5,2970,1,0,CO,discussion,10000
0,100,991,82,0,18,0,5,5,2970,1,0,CO,discussion,10000
0,100,1001,84,0,16,0,5,5,2970,1,0,CO,discussion,10000
