,#agents,current step,#positives,#neutrals,#negatives,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,1,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,2,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,3,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,4,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,6,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,7,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,8,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,9,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,10,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,11,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,12,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,13,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,14,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,15,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,16,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,17,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,18,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,19,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,20,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,21,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,22,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,23,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,24,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,25,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,26,5,90,5,5,5,200,1,0,CO,majority_opinion,1500
